Temperature,Flow,CH4/H2 ratio,Conversion,C2 yield,C3-C4 yield,Aromatics yield,Coke yield,Hydrocarbon yield
-0.370285714,-0.904,-1,2.22,0.86025,0.296148,0.147852,0.915972,1.304028
-0.312571429,-0.904,-1,3.32,1.329328,0.453844,0.430936,1.106224,2.213776
-0.255428571,-0.904,-1,5.09,2.063486,0.625561,1.018,1.383462,3.706538
-0.198857143,-0.904,-1,7.85,3.02382,0.697865,1.994685,2.13363,5.71637
-0.141714286,-0.905142857,-1,11.63,4.191452,0.710593,3.264541,3.464577,8.165423
-0.084,-0.904571429,-1,16.63,5.225146,0.655222,4.633118,6.118177,10.511823
-0.026857143,-0.904571429,-1,22.01,6.094569,0.574461,5.819444,9.519325,12.490675
0.029714286,-0.904571429,-1,27.49,6.685568,0.489322,6.935727,13.382132,14.107868
0.086285714,-0.904571429,-1,33.08,6.983188,0.4135,7.710948,17.975672,15.104328
0.142857143,-0.904,-1,38.18,7.12057,0.32453,7.968166,22.762916,15.417084
-0.314285714,-0.904285714,-1,2.12,0.688364,0.218466,0.071868,1.141408,0.978592
-0.257142857,-0.881714286,-1,2.35,0.822265,0.280825,0.10622,1.14069,1.20931
-0.257142857,-0.893428571,-1,2.445,0.9640635,0.3381435,0.1748175,0.96822,1.47678
-0.257142857,-0.904285714,-1,3.285,1.1730735,0.4214655,0.3045195,1.3859415,1.8990585
-0.200571429,-0.881714286,-1,3.33,1.2987,0.463203,0.357975,1.210122,2.119878
-0.199714286,-0.893142857,-1,3.875,1.51125,0.5204125,0.51518125,1.32815625,2.54684375
-0.199714286,-0.903714286,-1,4.68,1.861002,0.567684,0.792558,1.458756,3.221244
0.142857143,-0.536,-1,4.81,2.499276,0.896103,0.902356,0.512265,4.297735
0.2,-0.536,-1,7.54,3.697616,1.083498,1.610544,1.148342,6.391658
0.028571429,-0.765714286,-1,8.34,3.672102,0.932412,2.221776,1.51371,6.82629
-0.088,-0.765714286,-1,4.96,2.399152,0.703824,1.387312,0.469712,4.490288
-0.142857143,-0.765714286,-1,2.28,1.275432,0.471504,0.41268,0.120384,2.159616
-0.199428571,-0.880857143,-1,5.665,2.47078975,0.63249725,1.312014,1.249699,4.415301
0.257428571,-0.772857143,-0.6,6.105,4.98625875,0.17094,0.23168475,0.7161165,5.3888835
0.085142857,-0.772571429,-0.6,2.51,2.39454,0.078312,0.036897,0,2.51
0.2,-0.772571429,-0.6,3.96,3.731112,0.113256,0.115632,0,3.96
0.429142857,-0.543428571,-0.6,5.43,5.010261,0.208512,0.183534,0.028236,5.401764
0.372,-0.542857143,-0.6,3.82,3.59653,0.137902,0.085186,0,3.82
0.456857143,-0.542857143,-0.6,6.05,5.5360525,0.25168,0.2604525,0.0015125,6.0484875
0.142857143,-0.886857143,-0.6,7.18,6.148952,0.219349,0.659842,0.151857,7.028143
0.057714286,-0.880571429,-1,25.31,6.803328,0.554289,6.028842,11.923541,13.386459
0.085714286,-0.886857143,-0.6,13.7,7.19387,0.28633,2.762605,3.455825,10.244175
0.114571429,-0.886571429,-0.6,6.775,5.8027875,0.177505,0.605685,0.1890225,6.5859775
0.228285714,-0.772571429,-0.6,5.1,4.45536,0.14994,0.4947,0,5.1
0.257428571,-0.772571429,-0.6,5.975,5.25949375,0.19149875,0.47053125,0.05287875,5.92212125
0.285714286,-0.772571429,-0.6,6.945,6.08208375,0.23925525,0.544488,0.07952025,6.86547975
0.400285714,-0.543142857,-0.6,5.065,4.6157345,0.1950025,0.254263,0,5.065
0.428571429,-0.542857143,-0.6,5.87,5.2956205,0.2339195,0.278238,0.062222,5.807778
0.457142857,-0.542857143,-0.6,6.955,6.10614225,0.27785225,0.3679195,0.203086,6.751914
0.028857143,-0.886285714,-0.6,3.025,2.72325625,0.0777425,0.06413,0.15987125,2.86512875
0.058,-0.886571429,-0.6,4.04,3.602468,0.119988,0.139178,0.178164,3.861836
0.085714286,-0.886571429,-0.6,5.305,4.5405495,0.179309,0.26657625,0.3183,4.9867
0.172,-0.536571429,-1,6.955,3.378739,1.0467275,1.60486625,0.9243195,6.0306805
0.142857143,-0.536285714,-1,5.81,2.9622285,0.979566,1.3360095,0.532196,5.277804
0.114,-0.536285714,-1,4.765,2.50639,0.8905785,0.9868315,0.3812,4.3838
-0.057428571,-0.765714286,-1,5.47,2.6083695,0.8404655,1.279433,0.7414585,4.7285415
-0.085714286,-0.765714286,-1,4.155,2.1277755,0.75600225,0.90267375,0.36834075,3.78665925
-0.114,-0.765714286,-1,3.365,1.7602315,0.65836225,0.6120935,0.33431275,3.03068725
-0.171714286,-0.880857143,-1,8.305,3.4108635,0.760738,2.124419,2.00981,6.29519
-0.200285714,-0.880857143,-1,7.7,3.251325,0.77154,2.102485,1.57542,6.12458
-0.228571429,-0.880571429,-1,6.115,2.74532925,0.74083225,1.60365875,1.0254855,5.0895145
0.342285714,-0.542857143,-0.6,5.136787385,4.726579985,0,0.170845213,0.239362187,4.897425198
0.371428571,-0.542857143,-0.6,5.993081227,5.432755017,0,0.253374512,0.306951698,5.686129529
0.399428571,-0.542857143,-0.6,6.785185858,6.178883368,0,0.36005755,0.24624494,6.538940918
0.428,-0.542857143,-0.6,8.016250559,7.013794503,0,0.513295444,0.489160612,7.527089947
0.456571429,-0.542857143,-0.6,9.342768065,7.95171115,0,0.724002211,0.667054704,8.675713361
0.485142857,-0.542857143,-0.6,10.55801253,8.910055624,0,0.993818094,0.654138807,9.903873718
0.514285714,-0.542857143,-0.6,12.41191735,9.950628365,0,1.349842716,1.111446268,11.30047108
0.542285714,-0.542857143,-0.6,14.17179177,11.02362694,0,1.7912245,1.356940331,12.81485144
0.570857143,-0.542857143,-0.6,16.16576391,12.08266923,0,2.320912391,1.762182295,14.40358162
0.6,-0.542857143,-0.6,18.55495977,13.1640085,0,2.955734948,2.435216319,16.11974345
0.657142857,-0.542857143,0.6,7.028795131,6.783457751,0,0.037292009,0.20804537,6.82074976
0.685714286,-0.542857143,0.6,7.958395576,7.80375124,0,0.052672578,0.101971758,7.856423818
0.714285714,-0.542857143,0.6,9.025877777,8.915880135,0,0.080067889,0.029929754,8.995948024
0.742857143,-0.542857143,0.6,10.70998755,10.48209333,0,0.121687063,0.106207157,10.60378039
0.771428571,-0.542857143,0.6,12.2269632,11.92192235,0,0.178278457,0.126762394,12.1002008
0.886285714,0.708190476,0.6,25.80430105,14.03309432,0.092377276,4.342434956,7.336394505,18.46790655
0.885714286,0.708571429,0.4,31.3217369,13.4200573,0.078811698,4.855006685,12.96786121,18.35387569
0.885714286,0.709142857,0.2,36.93977734,12.2836178,0.071130297,5.119672256,19.46535699,17.47442035
0.885714286,0.709904762,0,42.80408968,10.63579146,0.060485543,5.10864204,26.99917064,15.80491904
0.885714286,0.712,-0.2,48.91191691,8.833861652,0.043188654,4.787305357,35.24756124,13.66435566
0.885714286,0.713714286,-0.4,55.0338376,6.980130073,0.031876713,4.216573077,43.80525773,11.22857986
0.885904762,0.713333333,-0.6,61.45541611,5.599245715,0.023112854,3.616704971,52.21635257,9.23906354
0.885714286,0.714285714,-0.8,67.91696309,4.283040302,0.016850998,2.962664009,60.65440778,7.26255531
0.700714286,-0.064,-0.96,28.51998664,10.77701173,1.002622001,7.446285227,9.294067679,19.22591896
0.885904762,-0.440761905,0.613333333,11.8,9.6642,0.110133333,0.098333333,1.927333333,9.872666667
0.315428571,-0.544,0.6,2.46998141,1.61946588,0,0,0.85051553,1.61946588
0.344,-0.543428571,0.6,2.908899585,1.721457169,0,0,1.187442416,1.721457169
0.372,-0.543428571,0.6,3.061537329,2.02721374,0,0,1.034323589,2.02721374
0.4,-0.543428571,0.6,3.050646107,2.254570505,0.020365386,0,0.775710216,2.274935891
0.429142857,-0.544,0.6,3.171528801,2.485656902,0.034588735,0,0.651283165,2.520245637
0.458285714,-0.543428571,0.6,3.407954431,2.820951823,0.02240232,0,0.564600288,2.843354142
0.486285714,-0.544,0.6,3.864735478,3.114400708,0.022464671,0,0.727870099,3.136865379
0.514857143,-0.543428571,0.6,4.537281261,3.498471238,0.024456075,0,1.014353948,3.522927313
0.543428571,-0.543428571,0.6,4.791272695,3.838063505,0.026528338,0,0.926680852,3.864591843
0.572,-0.543428571,0.6,5.092405137,4.302070611,0.028594415,0,0.761740111,4.330665026
0.600571429,-0.543428571,0.6,5.830952366,4.707941728,0.030550302,0.021550558,1.070909779,4.760042587
0.657714286,-0.543428571,0.6,6.801861216,5.815620753,0.03882725,0.030272295,0.917140918,5.884720298
0.686285714,-0.542857143,0.6,7.339573139,6.477055109,0.036981302,0.041304518,0.784232211,6.555340928
0.714857143,-0.543428571,0.6,8.135592917,7.155628769,0.041088786,0.047824481,0.891050881,7.244542036
0.743428571,-0.543428571,0.6,8.97436977,7.878351414,0.068147448,0.065552791,0.962318117,8.012051652
0.772,-0.543428571,0.6,9.776485289,8.722942326,0.097046097,0.085207749,0.871289117,8.905196172
0.801142857,-0.544,0.6,10.90766443,9.566999911,0.137084677,0.113055095,1.090524747,9.817139683
0.829142857,-0.543428571,0.6,11.72749226,10.47307201,0.130434952,0.1466416,0.977343704,10.75014856
0.857142857,-0.544,0.6,12.75261419,11.53373156,0.179138536,0.187395808,0.852348281,11.90026591
0.885714286,-0.544,0.6,14.01370748,12.59364434,0.177916279,0.240189315,1.00195754,13.01174994
0.886285714,-0.886857143,0.64,28.79788302,21.04073724,0.73174946,4.872782843,2.152613483,26.64526954
